Date,Authority,Definition,Exception,Precedent,Rescinding,Amending
10-28-2021,12,50,53,24,41,20
11-15-2021,31,38,28,39,12,20
07-18-2022,54,31,45,40,11,7
07-28-2022,33,49,10,29,38,28
08-16-2022,19,29,12,46,11,22
12-29-2022,34,43,35,10,14,14
01-09-2023,21,46,17,35,53,23
02-02-2023,54,7,39,51,28,49
02-09-2023,49,9,43,54,17,55
03-17-2023,36,11,32,40,50,26
03-30-2023,14,24,50,47,9,9
04-03-2023,17,33,22,18,29,43
05-02-2023,31,48,53,47,51,7
05-16-2023,11,9,30,45,28,29
05-22-2023,11,5,12,10,41,54
06-03-2023,31,55,15,26,40,22
06-07-2023,7,34,26,20,29,53
06-07-2023,21,42,30,53,9,30
06-07-2023,43,32,53,49,16,8
06-13-2023,36,6,22,48,41,51
06-27-2023,31,25,21,45,51,8
06-27-2023,38,38,5,16,16,22
07-10-2023,35,6,8,27,18,39
07-14-2023,32,35,55,39,43,5
07-17-2023,54,45,37,43,46,40
07-17-2023,26,55,12,48,16,30
07-20-2023,20,34,33,17,39,46
07-24-2023,25,38,48,26,24,33
07-26-2023,39,22,10,33,6,7
07-27-2023,8,28,5,32,8,37
07-27-2023,54,30,25,35,46,29
09-08-2023,15,7,33,30,48,21
09-18-2023,13,41,24,18,8,42
09-19-2023,17,42,50,45,23,42
09-20-2023,38,42,10,25,24,21
09-30-2023,5,51,12,25,36,7
10-04-2023,30,15,38,50,14,48
10-06-2023,26,36,18,15,51,42
10-06-2023,11,14,40,35,37,11
10-16-2023,15,49,41,48,16,31
10-25-2023,35,8,26,41,40,21
10-25-2023,13,20,31,26,31,21
11-01-2023,52,15,37,45,33,28
11-06-2023,21,41,43,9,35,7
11-07-2023,17,17,54,7,22,35
11-08-2023,46,47,24,43,55,50
11-17-2023,50,8,49,37,37,18
11-29-2023,8,43,8,35,24,29
12-04-2023,6,54,27,30,38,12
12-04-2023,20,49,21,53,34,43
12-05-2023,40,53,34,24,46,29
12-07-2023,42,23,34,8,38,24
12-13-2023,53,11,44,17,7,17
12-20-2023,11,9,16,28,51,49
12-22-2023,51,40,51,5,38,29
01-11-2024,22,29,17,35,24,50
01-19-2024,40,46,7,7,29,39
01-25-2024,22,38,45,38,37,15
02-01-2024,19,38,11,49,24,35
02-04-2024,13,34,27,27,5,8
02-06-2024,27,54,42,31,47,25
02-29-2024,14,54,54,8,16,6
03-08-2024,50,13,25,26,10,6
03-09-2024,46,10,14,27,7,10
03-11-2024,40,39,23,46,32,34
03-12-2024,44,6,38,50,17,33
03-14-2024,17,5,17,13,39,42
03-21-2024,20,14,39,32,27,18
03-22-2024,34,37,14,8,18,20
04-09-2024,7,23,15,9,13,28
04-10-2024,38,47,21,31,6,30
04-16-2024,40,26,12,14,42,43
04-18-2024,39,38,8,29,30,25
04-24-2024,8,10,6,27,15,45
05-14-2024,52,23,15,41,35,52
05-16-2024,47,33,9,16,20,52
05-16-2024,16,32,25,47,19,35
05-20-2024,32,14,34,9,38,41
05-21-2024,6,36,41,25,55,41
05-28-2024,13,14,17,43,47,16
06-03-2024,20,24,52,49,47,39
06-05-2024,7,51,46,50,6,23
06-14-2024,45,44,27,32,31,16
06-25-2024,49,14,11,5,35,5
07-08-2024,31,8,46,9,5,55
07-08-2024,13,24,37,42,26,39
07-08-2024,55,21,40,44,23,46
07-09-2024,37,48,47,23,7,39
07-23-2024,14,16,13,14,33,44
07-23-2024,16,5,38,36,18,19
07-30-2024,54,54,26,20,11,17
08-01-2024,15,40,28,38,43,8
09-09-2024,7,10,16,5,16,26
09-09-2024,19,11,47,8,5,11
09-10-2024,9,39,13,11,32,11
09-10-2024,16,7,22,47,41,40
09-10-2024,42,6,11,53,5,46
09-16-2024,38,47,7,30,39,33
09-18-2024,8,47,44,26,50,24
09-26-2024,38,47,25,50,34,17
10-02-2024,35,49,52,25,16,34
11-12-2024,25,42,15,14,49,44
11-18-2024,30,37,14,28,20,43
12-12-2024,11,30,38,52,25,7
12-17-2024,34,8,16,5,6,8
12-23-2024,18,19,40,49,13,29
12-23-2024,33,50,42,26,44,55
