Date,Definition,Exception,Precedent,Rescinding,Amending
11-15-2021,12,0,9,0,47
07-18-2022,6,1,1,0,20
07-28-2022,6,8,18,0,21
08-16-2022,16,1,0,0,20
12-29-2022,15,13,39,0,7
01-09-2023,0,0,0,0,2
02-09-2023,0,0,0,0,0
03-30-2023,0,0,0,0,1
05-02-2023,5,0,2,0,0
05-16-2023,13,1,2,0,15
05-22-2023,3,0,0,0,9
06-03-2023,0,0,0,0,8
06-07-2023,1,0,0,0,0
06-27-2023,5,2,2,0,2
07-10-2023,3,1,0,0,13
07-14-2023,1,0,0,0,0
07-17-2023,12,2,3,0,7
07-20-2023,0,0,0,0,1
07-24-2023,8,1,1,0,3
07-27-2023,0,0,1,0,0
09-08-2023,9,0,1,0,11
09-18-2023,0,0,0,0,0
09-19-2023,12,1,0,0,20
09-20-2023,5,0,0,0,2
09-30-2023,0,5,0,0,10
10-06-2023,4,4,6,0,8
10-16-2023,1,1,1,0,0
10-25-2023,5,0,3,0,7
11-01-2023,0,1,1,0,0
11-06-2023,0,0,0,0,0
11-07-2023,5,16,4,0,2
11-17-2023,1,1,4,0,5
11-29-2023,9,0,1,0,6
12-04-2023,3,1,1,0,13
12-05-2023,0,0,0,0,4
12-07-2023,0,0,0,0,0
12-13-2023,2,2,0,0,15
12-22-2023,17,3,7,0,18
01-11-2024,7,0,0,0,8
01-19-2024,0,1,0,0,3
02-01-2024,1,0,0,0,0
02-04-2024,0,0,0,0,3
02-29-2024,5,0,0,0,6
03-08-2024,0,0,0,0,1
03-09-2024,9,16,3,0,11
03-11-2024,12,1,1,0,11
03-12-2024,0,0,1,0,2
03-22-2024,1,0,1,0,1
04-10-2024,6,1,0,0,21
04-18-2024,5,1,5,0,18
04-24-2024,8,0,1,0,2
05-14-2024,7,0,0,0,1
05-16-2024,3,0,0,0,8
05-20-2024,13,5,3,0,39
05-21-2024,23,3,4,0,129
06-03-2024,1,0,0,0,0
06-05-2024,2,0,0,0,0
06-14-2024,2,1,1,0,0
06-25-2024,6,3,2,0,29
07-08-2024,2,0,1,0,30
07-09-2024,16,0,0,0,6
07-23-2024,7,1,3,0,31
07-30-2024,4,0,1,0,3
08-01-2024,3,6,2,0,1
09-09-2024,6,1,0,0,16
09-10-2024,0,0,0,0,1
09-18-2024,1,0,0,0,0
09-26-2024,1,0,0,0,2
10-02-2024,0,1,0,0,0
11-12-2024,4,1,2,0,6
12-17-2024,29,1,12,0,27
12-23-2024,2,0,1,0,18
